"","value","message","ci.low","mean","ci.high"
"171",80,"might_be unlikely",3.58571428571429,3.58571428571429,4.74761904761905
"172",82,"might_be unlikely",5.90116279069767,10.5523255813953,6.88953488372093
"173",84,"might_be unlikely",2.53506493506494,2.53506493506494,3.95844155844156
"174",86,"might_be unlikely",3.48965517241379,3.48965517241379,4.55632183908046
"175",88,"might_be unlikely",0,0,0
"176",102,"might_be unlikely",4.44444444444444,7.75,5.58333333333333
"177",103,"might_be unlikely",4.17638888888889,5.56527777777778,5.54583333333333
"178",105,"might_be unlikely",2.45542168674699,2.45542168674699,3.56867469879518
"179",107,"might_be unlikely",1.13111111111111,1.13111111111111,2.20222222222222
"180",108,"might_be unlikely",0,0,0
