"alpha","alpha_ax","beta","beta_ax","lambda","theta.possibly","theta.probably","theta.certainly"
2.93390009439989,12.3882620915788,2.90241220545537,8.52188542357495,4.92743591859597,0.197923848838714,0.561710545069274,0.936628451316938
3.42707628697158,14.1528432564639,3.24930359540126,8.99001983106588,4.85804047847378,0.293176641761724,0.54943859087209,0.920499752506023
3.37368616797256,9.95582229023477,3.19079900722172,6.37074935445988,4.89275102024176,0.264262673204051,0.557366059964052,0.960291631752869
3.75991606649434,10.0815894528445,3.44550182252661,6.70873460795111,4.93722126246001,0.286494289031083,0.595966971023524,0.993738455710263
3.3637490544767,9.52771563475806,3.17695897548268,6.10002059550988,4.9919856611472,0.225217877279961,0.574260964595048,0.969681864923195
3.01080656743881,7.70421365110134,2.8362439847644,5.22995603430978,4.87644331711592,0.240151559029189,0.535881164860315,0.986892555051767
3.20905075700998,9.51014914212571,3.02298045892799,6.46197540602249,4.86569101762206,0.223591982748308,0.53626716270875,0.934499379156738
3.21135381886931,10.3264707130037,3.0022537087122,6.71477859384408,4.7872643982455,0.299531516409122,0.585770003046555,0.958059259655594
3.09275631532888,8.78478589740057,2.93881934161657,5.68823557251626,4.57220619726668,0.262232121892475,0.552317218403327,0.995577248006983
3.24354415275851,12.1423747971974,3.08805587837987,7.81664667239346,4.9076052157806,0.23269692366696,0.530924056931083,0.972601884776017
3.01787231260056,8.58077447821871,2.88796315273469,5.4068161500975,4.89667847400429,0.296232518542305,0.573219137794517,0.973088285569043
2.98368171288503,9.23931531857507,2.976966312281,6.04412974990191,4.75347264663652,0.225958440522518,0.590068238888063,0.924998840405196
3.0795711051839,13.521416546075,2.90978255430325,8.5009327755681,4.98434257794149,0.231181708647631,0.567066447847592,0.909803048772221
2.95031338868384,9.68592882554339,2.80745872758292,6.31072848149451,4.70468325202254,0.241441895447503,0.531138976854223,0.931361516284738
2.72602980696775,12.2195841368432,2.54832449312049,7.84990147709,4.68676022290057,0.28370971953519,0.537815979664266,0.916394023038262
3.34734568694708,10.4735099751053,3.11197373797103,6.6431630869772,4.83615354350633,0.299265365172104,0.57860909695365,0.917500011865903
3.28185328317983,9.89769464510409,3.05340019930164,6.73182582139776,4.81159887578812,0.291174818891871,0.583772485854676,0.953321484452236
3.0488559764371,9.14911075074789,2.8087503022102,6.05663755707701,4.97229631338426,0.200077971860579,0.57677123038867,0.905846767742716
3.44368542747007,10.8086730103344,3.29393132083184,7.05902860697575,5.17173094251723,0.259278701954747,0.535795921780025,0.954084331982329
3.27251425501036,11.7318888498082,3.10051131888875,7.54642869020892,4.67499245721673,0.295609808625665,0.589429779768425,0.922380024360216
2.93782613548839,9.78475473375995,2.77725308305363,6.31240502635856,4.7272846647064,0.264147065671388,0.525909147585623,0.937150617773312
3.29874311578422,7.35863796674504,3.18103447679818,4.82157880668186,4.78797268316872,0.225451134695117,0.583111626355292,0.950276507179437
3.51308365750132,11.2249403324048,3.34326220855257,7.32916735406009,4.84803096063199,0.259919601386096,0.505371406968954,0.96927844807777
2.99442864693821,11.1309665520778,2.8425770316313,7.21569182188176,4.92652767434045,0.201324295722577,0.522438107932663,0.910751186620752
3.15094099493059,10.4479590520778,3.0468069248875,6.86854598000746,5.0026831735586,0.219168047421347,0.516312820800218,0.909324842800487
3.72811710833561,10.3857878978156,3.46834364546726,7.05596747746269,5.19179109671463,0.297424236182556,0.521064063526374,0.944202900035695
3.34707035420463,13.6653807690693,3.26282816151844,8.58994466105952,4.93661308223972,0.235724436095071,0.54464794601222,0.928182906336624
3.47077231891682,11.0441997752509,3.27276573644649,7.42003894101148,5.03654137914737,0.209495639458233,0.58584472230165,0.984822456876711
3.21704675367523,13.6204493195621,2.99657404182758,8.82397286227186,4.83205936962851,0.273770342864025,0.591862073674965,0.944230331147915
3.53640305131555,11.3592994632383,3.29074290106307,7.16136664712487,4.84751105243188,0.299915516865469,0.501460010080985,0.929725939012475
3.44406468646072,8.88970804882588,3.37845537971246,5.86694779545404,5.14804423334312,0.257254348463332,0.597835179903766,0.925997757215757
2.93970419391208,8.45600509074263,2.74615076542038,5.87209027498938,4.82270080918988,0.145036422236029,0.510038395366487,0.92450708188658
3.1862335453316,10.4034077060674,2.98616478085729,6.87697799622222,4.73441043282885,0.200631874473228,0.535266487633491,0.980264434760246
3.52851138376956,10.5144853179298,3.39492747294828,6.80740726639298,4.79626053625853,0.260850265737934,0.551823199388392,0.941888048540013
3.38275736811184,10.2523366721495,3.21966479238429,6.50418287469846,4.86666974036774,0.209498503480671,0.569889906560674,0.962609817514145
3.07593730917661,10.0594964155243,2.91824836039995,6.48001206490934,4.73333643250426,0.201047184359318,0.568516504705592,0.958841049248863
3.12882929905656,10.0040406326383,3.03002213567601,6.69401032175365,4.97166162741999,0.250847704134304,0.593707957478435,0.990768382246652
3.4892016321765,8.61843136130708,3.22934472061628,5.63199571896744,5.03052755335929,0.229493675228648,0.531780979171453,0.965758994059155
3.58127857176984,9.39836913813536,3.38078225919369,6.25745285018041,4.8805663414706,0.220030467279008,0.534255750458917,0.940740108899871
3.12254567310063,10.1476596492398,2.85051283799964,6.87905535522215,4.74506807911861,0.210978067625252,0.516289585171788,0.990760698252508
3.55623861291251,10.1646353467083,3.35883356755155,6.75241842273949,4.917048143991,0.24024887054329,0.511074066233278,0.903832249059568
3.11402988627838,9.98357187366345,2.91730375429746,6.55344387500782,5.01700290662278,0.21660767389199,0.504092190932366,0.910365720968396
